,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admission Points
0,117,4.158318947097563,102,3,4.0,3.5,1.71347122858268,0,1.3900733231962203
1,49,4.232785473794877,110,3,3.5,5.0,1.724788380100209,1,1.509724068960011
2,94,4.165255283040581,97,2,3.0,3.0,1.675450318428941,1,1.2110341025659768
3,108,4.287747230288912,117,4,3.5,4.5,1.7537705949883924,1,1.7934923481967142
4,327,4.158318947097563,100,3,2.0,2.0,1.682842967035623,0,1.3668870466620164
5,387,4.161791450287818,100,2,2.31,3.22,1.678101775240627,0,1.1020384412666464
6,312,4.255675067045749,108,4,4.5,4.0,1.740646857208154,1,1.783270412752514
7,239,4.249172870720582,110,4,4.31,3.44,1.739223014006782,1,1.7821660138315283
8,354,4.161791450287818,102,3,3.5,2.5,1.6906570277827762,0,1.3727627289009579
9,453,4.255675067045749,116,4,5.0,3.5,1.7602234735867868,1,1.7985465819354653
10,58,4.154837722659222,99,2,4.0,2.0,1.6603643426724282,0,1.0888395170838663
11,59,4.165255283040581,99,2,3.66,2.34,1.6695723922469703,0,1.095673980688266
12,361,4.236078191550099,110,3,4.0,5.0,1.7144642578192797,1,1.5018096684754194
13,95,4.172157138163568,99,3,2.0,2.5,1.6636317202492894,0,1.352557122264286
14,119,4.147848904442549,99,2,3.0,3.5,1.642603881843218,0,1.0757639832231913
15,134,4.268590769596987,113,4,4.0,3.99,1.7453679389588783,1,1.7869387693865044
16,424,4.2750048985348625,118,5,4.57,4.93,1.75469680106511,1,2.055513456124321
17,171,4.202799273419526,101,2,2.5,3.5,1.6838911413008755,1,1.2173544323634273
18,230,4.242640687119285,111,4,3.0,3.0,1.732531732454193,1,1.7769880484079301
19,40,4.185858988061498,108,2,4.0,3.5,1.665799323178612,0,1.0928689358959367
20,372,4.242640687119285,110,3,3.5,3.0,1.7425398962829504,1,1.523443345739133
21,149,4.290915128445443,116,4,4.0,3.5,1.7693205386531028,1,1.8057034120226398
22,444,4.232785473794877,114,5,4.5,4.5,1.7396980169225666,1,2.0438311432997116
23,343,4.189263512215989,106,3,3.0,3.0,1.6942668086465793,0,1.3754862487408515
