,Research
0,0
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,1
